,"Three Months Ended March 31,.2026","Three Months Ended March 31,.2025"
Operating revenues,"$ 5,640","$ 3,933"
"Fuel, purchased power costs, and delivery fees","(2,530)","(2,447)"
Operating costs,(700),(693)
Depreciation and amortization,(484),(522)
"Selling, general, and administrative expenses",(427),(391)
Operating income (loss),"1,499",(120)
"Other deductions, net",(24),(5)
Interest expense and related charges,(263),(319)
Net income (loss) before income taxes,"1,212",(444)
Income tax (expense) benefit,(183),176
Net income (loss) attributable to Vistra,"$ 1,029",$ (268)
Cumulative dividends attributable to preferred stock,(49),(49)
Net income (loss) attributable to Vistra common stock,$ 980,$ (317)
Weighted average shares of common stock outstanding:,,
Basic,"337,823,560","339,799,989"
Diluted,"341,856,774","339,799,989"
Net income (loss) per weighted average share of common stock outstanding:,,
Basic,$ 2.90,$ (0.93)
Diluted,$ 2.87,$ (0.93)
