0,1
NRC,U.S. Nuclear Regulatory Commission
PUCT,Public Utility Commission of Texas
RCT,"Railroad Commission of Texas, which among other things, has oversight of lignite mining activity in Texas, and has jurisdiction over oil and natural gas exploration and production, permitting and inspecting intrastate pipelines, and overseeing natural gas utility rates and compliance"
SEC,U.S. Securities and Exchange Commission
TCEQ,Texas Commission on Environmental Quality
Rules and Regulations:,
Exchange Act,"Securities Exchange Act of 1934, as amended"
IRA,Inflation Reduction Act of 2022
OBBBA,One Big Beautiful Bill Act
Securities Act,"Securities Act of 1933, as amended"
General Terms:,
2025 Form 10-K,"Vistra's annual report on Form 10-K for the year ended December 31, 2025, filed with the SEC on February 27, 2026"
ARO,asset retirement and mining reclamation obligation
Board,Vistra Corp.'s Board of Directors
CCGT,combined cycle natural gas turbine
CCR,coal combustion residuals
CME,Chicago Mercantile Exchange
CRR,congestion revenue rights
EBITDA,"earnings (net income) before interest expense, income taxes, depreciation and amortization"
ESS,energy storage system
Fitch,"Fitch Ratings, Inc. (a credit rating agency)"
FTR,financial transmission rights
GAAP,generally accepted accounting principles
GHG,greenhouse gas
GWh,gigawatt-hours
Heat Rate,Heat Rate is a measure of the efficiency of converting a fuel source to electricity
ISO,independent system operator
ITC,investment tax credit
load,demand for electricity
LTSA,long-term service agreements for plant maintenance
Market Heat Rate,"Market Heat Rate is the implied relationship between wholesale electricity prices and natural gas prices and is calculated by dividing the wholesale market price of electricity, which is based on the price offer of the marginal supplier (generally natural gas plants), by the market price of natural gas"
MMBtu,million British thermal units
MW,megawatts
MWh,megawatt-hours
NYMEX,"the New York Mercantile Exchange, a commodity derivatives exchange"
PTC,production tax credit
REP,retail electric provider
RTO,regional transmission organization
S&P,S&P Global Ratings (formerly Standard &Poor's Ratings) (a credit rating agency)
Series APreferred Stock,"Vistra's 8.0% Series A Fixed-Rate Reset Cumulative Redeemable Perpetual Preferred Stock, $0.01 par value, with a liquidation preference of $1,000 per share"
Series B Preferred Stock,"Vistra's 7.0% Series B Fixed-Rate Reset Cumulative Green Redeemable Perpetual Preferred Stock, $0.01 par value, with a liquidation preference of $1,000 per share"
