,Preferred Stock,Common Stock,Treasury Stock,Additional Paid-In Capital,Accumulated Deficit,Accumulated Other Comprehensive Income,Total Stockholders' Equity,Noncontrolling Interest in Subsidiary,Total Equity
Balances at,,,,,,,,,
"December 31, 2024","$ 2,476",$ 5,"$ (5,912)","$ 9,435",$ (454),$ 20,"$ 5,570",$ 13,"$ 5,583"
Stock repurchases,-,-,(336),-,-,-,(336),-,(336)
Effects of stock-based incentive compensation plans,,,,,,,,,
(a),-,-,-,(27),-,-,(27),-,(27)
Net loss,-,-,-,-,(268),-,(268),-,(268)
Dividends declared on common stock,-,-,-,-,(75),-,(75),-,(75)
Dividends declared on preferred stock,-,-,-,-,(38),-,(38),-,(38)
Other,-,-,-,(1),-,-,(1),-,(1)
"Balances at March 31, 2025","$ 2,476",$ 5,"$ (6,248)","$ 9,407",$ (835),$ 20,"$ 4,825",$ 13,"$ 4,838"
