Ambit Energy,"Ambit Holdings, LLC, and/or its subsidiaries (d/b/a Ambit Energy), depending on context"
Ambit Texas,"Ambit Texas, LLC, a wholly owned subsidiary of Vistra"
Dynegy Energy Services,"Dynegy Energy Services, LLC and Dynegy Energy Services (East), LLC (each d/b/a Dynegy, Better Buy Energy, Brighten Energy, Honor Energy and True Fit Energy), indirect, wholly owned subsidiaries of Vistra, that are REPs in certain areas of MISO and PJM, respectively, and are engaged in the retail sale of electricity to residential and business customers"
Energy Harbor,"Energy Harbor Holdings LLC (formerly known as Energy Harbor Corp.), and/or its subsidiaries, depending on context"
Homefield Energy,"Illinois Power Marketing Company (d/b/a Homefield Energy), an indirect, wholly owned subsidiary of Vistra, a REP in certain areas of MISO that is engaged in the retail sale of electricity to municipal customers"
Lotus,Lotus Infrastructure Partners
Luminant,subsidiaries of Vistra engaged in competitive market activities consisting of electricity generation and wholesale energy sales and purchases as well as commodity risk management
Parent,Vistra Corp.
TriEagle Energy,"TriEagle Energy, LP (d/b/a TriEagle Energy, TriEagle Energy Services, Eagle Energy, Energy Rewards, Power House Energy and Viridian Energy), an indirect, wholly owned subsidiary of Vistra, a REP in certain areas of ERCOT and PJM that is engaged in the retail sale of electricity to residential and business customers"
TXU Energy,"TXU Energy Retail Company LLC (d/b/a TXU), an indirect, wholly owned subsidiary of Vistra that is a REP in competitive areas of ERCOT and is engaged in the retail sale of electricity to residential and business customers"
U.S. Gas &Electric,"U.S. Gas and Electric, LLC (d/b/a USG&E, Illinois Gas &Electric and ILG&E), an indirect, wholly owned subsidiary of Vistra, a REP in certain areas of PJM, ISO-NE, NYISO and MISO that is engaged in the retail sale of electricity to residential and business customers"
Value Based Brands,"Value Based Brands LLC (d/b/a 4Change Energy, Express Energy and Veteran Energy), an indirect, wholly owned subsidiary of Vistra that is a REP in competitive areas of ERCOT and is engaged in the retail sale of electricity to residential and business customers"
Vistra,"Vistra Corp., and/or its subsidiaries, depending on context"
Vistra Intermediate,"Vistra Intermediate Company LLC, a direct, wholly owned subsidiary of Vistra"
Vistra Operations,"Vistra Operations Company LLC, an indirect, wholly owned subsidiary of Vistra that is the issuer of certain series of notes (see Note 11 to the Financial Statements) and borrower under the Vistra Operations Credit Facilities"
Vistra Vision,"Vistra Vision LLC, an indirect subsidiary of Vistra"
Vistra Zero,subsidiaries of Vistra engaged in the operation and development of renewables and energy storage assets
Vistra Zero Operating,"Vistra Zero Operating Company, LLC, an indirect, wholly owned subsidiary of Vistra"
Transmission System Operators:,Transmission System Operators:
CAISO,The California Independent System Operator
ERCOT,"Electric Reliability Council of Texas, Inc."
ISO-NE,ISO New England Inc.
MISO,"Midcontinent Independent System Operator, Inc."
NYISO,"New York Independent System Operator, Inc."
PJM,"PJM Interconnection, LLC"
Authoritative Organizations:,Authoritative Organizations:
EPA,U.S. Environmental Protection Agency
FERC,U.S. Federal Energy Regulatory Commission
IRS,U.S. Internal Revenue Service
MSHA,U.S. Mine Safety and Health Administration
